DT,COMP_PRD_NO,COMP_STOCK_NO,BASE_QTY,INCM_QTY,END_QTY,ORD_CNT,ORD_QTY,MIN_ACTUAL_PAY,MED_ACTUAL_PAY,EVNT_11ST_2016,EVNT_MW_HOT_ISSUE,EVNT_MW_SHCK_DEAL,EVNT_MW_LOWER_BANS,EVNT_NOW_BANS,EVNT_OTHERS
2017-10-12,1624714294,6252686295,1665,0,1576,50,75,18370,18370,N,N,N,N,Y,N
2017-10-13,1624714294,6252686295,1576,0,1489,61,88,18370,18370,N,N,N,N,Y,N
2017-10-15,1624714294,6252686295,1489,0,1375,75,107,18140,18370,N,N,N,Y,Y,N
2017-10-18,1624714294,6252686295,1042,0,876,95,152,18140,18370,N,N,N,N,Y,N
2017-10-16,1624714294,6252686295,1375,0,1211,115,175,17545,18370,N,N,N,Y,Y,N
2017-10-17,1624714294,6252686295,1211,0,1042,95,160,17545,18370,N,N,N,N,Y,N
2017-10-19,1624714294,6252686295,876,0,757,73,105,18140,18370,N,N,N,N,Y,N
2017-10-22,1624714294,6252686295,680,0,557,52,91,18140,18370,N,N,N,N,Y,N
2017-10-20,1624714294,6252686295,757,0,680,40,59,18140,18370,N,N,N,N,Y,N
2017-10-21,1624714294,6252686295,680,0,680,43,63,18140,18370,N,N,N,N,Y,N
2017-10-23,1624714294,6252686295,557,640,1042,88,147,18140,18370,N,N,N,N,N,N
2017-10-26,1624714294,6252686295,29,960,970,20,31,16515,19140,N,N,N,N,N,N
2017-10-24,1624714294,6252686295,1042,0,182,960,967,15000,17000,N,Y,N,N,N,Y
2017-10-25,1624714294,6252686295,182,0,29,6,6,15000,17400,N,N,N,N,N,N
2017-10-27,1624714294,6252686295,970,0,907,46,60,17000,17800,N,N,N,N,N,N
2017-10-30,1624714294,6252686295,816,0,673,111,154,15130,17800,N,N,N,N,N,N
2017-10-28,1624714294,6252686295,907,0,907,47,53,15000,17800,N,N,N,N,N,N
2017-10-29,1624714294,6252686295,907,0,816,49,62,14500,17800,N,N,N,N,N,N
2017-10-31,1624714294,6252686295,673,0,517,121,162,15130,17800,N,N,N,N,N,N
2017-11-03,1624714294,6252686295,143,0,13,38,45,14880,18590,N,N,N,N,N,N
2017-11-01,1624714294,6252686295,517,0,325,136,200,14880,18590,N,N,N,N,N,Y
2017-11-02,1624714294,6252686295,325,0,143,160,202,14880,18485,N,N,N,N,N,Y
2017-11-04,1624714294,6252686295,13,0,13,6,7,16710,18590,N,N,N,N,N,N
2017-11-08,1624714294,6252686295,521,0,365,176,220,14880,17400,N,N,N,N,N,N
2017-11-06,1624714294,6252686295,6,640,624,32,51,16705,18585,N,N,N,N,N,N
2017-11-07,1624714294,6252686295,624,0,521,72,109,15205,18585,N,N,N,N,N,N
2017-11-11,1624714294,6252686295,704,0,704,124,178,14870,16550,N,N,N,N,N,N
2017-11-09,1624714294,6252686295,365,640,818,89,122,14880,18590,N,N,N,N,N,N
2017-11-10,1624714294,6252686295,818,0,704,63,101,15505,18585,N,N,N,N,N,N
2017-11-12,1624714294,6252686295,704,0,489,36,50,18585,18585,N,N,N,N,N,N
2017-11-13,1624714294,6252686295,489,0,380,73,121,17085,18585,N,N,N,N,N,N
2017-11-14,1624714294,6252686295,380,0,215,183,236,16000,17000,N,N,N,N,N,N
2017-11-15,1624714294,6252686295,215,640,635,117,152,15880,18400,N,N,N,N,N,N
2017-11-16,1624714294,6252686295,635,0,514,90,121,17880,18400,N,N,N,N,N,N
2017-11-19,1624714294,6252686295,397,0,259,79,113,18220,18400,N,N,N,N,N,N
2017-11-17,1624714294,6252686295,514,0,397,62,90,18400,18400,N,N,N,N,N,N
2017-11-18,1624714294,6252686295,397,0,397,39,55,17880,18400,N,N,N,N,N,Y
2017-11-20,1624714294,6252686295,259,0,143,99,123,16710,18400,N,N,N,N,N,Y
2017-11-21,1624714294,6252686295,143,0,10,53,79,17750,18400,N,N,N,N,N,N
2017-11-26,1624714294,6252686295,1688,0,1545,60,90,16705,18400,N,N,N,N,N,N
2017-11-27,1624714294,6252686295,1545,0,1386,119,172,16710,18400,N,N,N,N,N,N
2017-11-24,1624714294,6252686295,1154,640,1688,47,84,18220,18400,N,N,N,N,N,Y
2017-11-22,1624714294,6252686295,10,1280,1276,39,55,17880,18400,N,N,N,N,N,N
2017-11-23,1624714294,6252686295,1276,0,1154,97,127,15880,18400,N,N,N,N,N,N
2017-11-25,1624714294,6252686295,1688,0,1688,60,79,16710,18400,N,N,N,N,N,Y
